x,y,z,Date
1.29,1.86,354.86,23-08-2023 13:53:42.933
1.27,2.55,354.83,23-08-2023 13:53:42.982
1.32,3.30,354.85,23-08-2023 13:53:43.056
1.30,2.35,354.76,23-08-2023 13:53:43.249
1.03,1.56,354.67,23-08-2023 13:53:43.435
0.90,1.56,354.64,23-08-2023 13:53:43.614
1.02,2.23,354.63,23-08-2023 13:53:44.057
0.97,3.11,354.72,23-08-2023 13:53:44.057
0.94,2.93,354.77,23-08-2023 13:53:44.151
1.09,2.06,354.67,23-08-2023 13:53:44.360
1.24,1.65,354.54,23-08-2023 13:53:44.755
1.21,1.67,354.37,23-08-2023 13:53:44.755
1.17,2.46,354.22,23-08-2023 13:53:44.909
1.06,3.46,354.13,23-08-2023 13:53:45.197
0.98,3.29,354.01,23-08-2023 13:53:45.296
1.11,2.41,353.92,23-08-2023 13:53:46.012
1.17,1.30,353.75,23-08-2023 13:53:46.012
1.10,1.22,353.50,23-08-2023 13:53:46.014
0.97,2.43,353.38,23-08-2023 13:54:03.146
0.99,2.94,353.32,23-08-2023 13:54:03.146
1.08,2.44,353.16,23-08-2023 13:54:03.161
1.17,2.50,352.90,23-08-2023 13:54:03.161
1.31,2.91,352.63,23-08-2023 13:54:03.161
1.21,2.49,352.42,23-08-2023 13:54:03.161
1.04,1.24,352.17,23-08-2023 13:54:03.161
1.07,1.45,351.91,23-08-2023 13:54:03.161
0.89,3.17,351.76,23-08-2023 13:54:03.161
0.71,3.45,351.65,23-08-2023 13:54:03.161
0.90,1.86,351.48,23-08-2023 13:54:03.161
1.18,0.88,351.18,23-08-2023 13:54:03.161
1.28,1.66,350.88,23-08-2023 13:54:03.161
1.22,2.98,350.63,23-08-2023 13:54:03.162
0.99,3.49,350.49,23-08-2023 13:54:03.162
0.90,3.23,350.41,23-08-2023 13:54:03.162
1.20,2.28,350.20,23-08-2023 13:54:03.162
1.39,1.62,349.84,23-08-2023 13:54:03.162
1.16,2.07,349.53,23-08-2023 13:54:03.162
0.82,2.50,349.41,23-08-2023 13:54:03.162
0.80,2.16,349.26,23-08-2023 13:54:03.162
0.95,1.98,349.10,23-08-2023 13:54:03.231
1.07,2.42,348.95,23-08-2023 13:54:03.233
1.25,2.43,348.66,23-08-2023 13:54:03.234
1.32,1.95,348.37,23-08-2023 13:54:03.234
1.12,2.15,348.14,23-08-2023 13:54:03.234
1.05,2.73,347.96,23-08-2023 13:54:03.235
1.00,2.69,347.79,23-08-2023 13:54:03.235
0.94,2.55,347.63,23-08-2023 13:54:03.235
1.10,2.17,347.36,23-08-2023 13:54:03.240
1.25,1.64,347.03,23-08-2023 13:54:03.241
1.08,1.64,346.76,23-08-2023 13:54:03.241
0.76,2.59,346.62,23-08-2023 13:54:03.241
0.73,3.11,346.51,23-08-2023 13:54:03.241
1.10,2.35,346.35,23-08-2023 13:54:03.242
1.34,1.90,346.16,23-08-2023 13:54:03.242
1.38,2.33,345.91,23-08-2023 13:54:03.253
1.43,2.14,345.56,23-08-2023 13:54:03.253
1.02,2.07,345.38,23-08-2023 13:54:03.253
0.48,2.86,345.44,23-08-2023 13:54:03.253
0.73,2.31,345.44,23-08-2023 13:54:03.253
1.30,1.16,345.31,23-08-2023 13:54:03.254
1.10,1.67,345.22,23-08-2023 13:54:03.254
0.88,2.87,345.18,23-08-2023 13:54:03.254
1.23,2.79,345.10,23-08-2023 13:54:03.254
1.20,2.27,345.02,23-08-2023 13:54:03.254
0.73,2.77,345.10,23-08-2023 13:54:03.254
0.82,2.85,345.15,23-08-2023 13:54:03.254
1.38,1.79,345.02,23-08-2023 13:54:03.254
1.32,1.25,344.88,23-08-2023 13:54:03.254
0.96,2.01,344.87,23-08-2023 13:54:03.254
0.93,2.74,344.86,23-08-2023 13:54:03.254
1.09,2.67,344.85,23-08-2023 13:54:03.254
1.11,2.13,344.87,23-08-2023 13:54:03.254
1.14,1.93,344.87,23-08-2023 13:54:03.254
1.35,1.86,344.74,23-08-2023 13:54:03.254
1.31,2.18,344.58,23-08-2023 13:54:03.255
0.79,3.08,344.56,23-08-2023 13:54:03.255
0.54,3.02,344.61,23-08-2023 13:54:03.255
0.94,1.74,344.59,23-08-2023 13:54:03.255
1.24,1.23,344.47,23-08-2023 13:54:03.255
1.20,2.00,344.34,23-08-2023 13:54:03.255
1.24,2.54,344.20,23-08-2023 13:54:03.255
1.07,2.25,344.09,23-08-2023 13:54:03.255
0.75,2.54,344.07,23-08-2023 13:54:03.255
0.97,3.23,344.03,23-08-2023 13:54:03.449
1.32,2.61,343.85,23-08-2023 13:54:03.450
1.18,1.78,343.66,23-08-2023 13:54:03.467
1.04,1.77,343.46,23-08-2023 13:54:03.501
1.21,2.12,343.12,23-08-2023 13:54:03.513
0.97,2.31,342.93,23-08-2023 13:54:03.521
0.75,2.15,342.87,23-08-2023 13:54:03.531
1.09,1.90,342.69,23-08-2023 13:54:03.601
1.39,2.02,342.46,23-08-2023 13:54:03.608
1.29,2.08,342.23,23-08-2023 13:54:03.616
0.96,2.32,341.99,23-08-2023 13:54:03.619
0.65,3.37,341.84,23-08-2023 13:54:03.626
0.67,3.57,341.73,23-08-2023 13:54:03.627
0.91,2.05,341.60,23-08-2023 13:54:03.638
1.16,1.02,341.40,23-08-2023 13:54:03.639
1.39,1.46,341.10,23-08-2023 13:54:03.642
1.33,1.99,340.81,23-08-2023 13:54:03.668
1.12,2.30,340.61,23-08-2023 13:54:03.668
1.00,2.52,340.43,23-08-2023 13:54:03.683
0.98,2.62,340.22,23-08-2023 13:54:03.723
1.09,2.53,340.02,23-08-2023 13:54:03.731
1.29,2.26,339.73,23-08-2023 13:54:03.732
1.22,2.06,339.39,23-08-2023 13:54:03.734
0.83,2.00,339.12,23-08-2023 13:54:03.737
0.64,2.16,338.90,23-08-2023 13:54:03.738
0.82,2.49,338.70,23-08-2023 13:54:03.748
1.14,2.26,338.53,23-08-2023 13:54:03.751
1.29,1.59,338.27,23-08-2023 13:54:03.765
1.27,1.55,337.95,23-08-2023 13:54:03.766
1.06,2.41,337.70,23-08-2023 13:54:03.771
0.86,3.14,337.51,23-08-2023 13:54:03.771
1.02,3.07,337.34,23-08-2023 13:54:03.841
1.18,2.37,337.13,23-08-2023 13:54:03.920
1.14,1.76,336.85,23-08-2023 13:54:03.955
1.14,1.88,336.49,23-08-2023 13:54:04.148
1.03,2.28,336.21,23-08-2023 13:54:04.336
0.89,2.12,335.96,23-08-2023 13:54:04.524
0.94,1.63,335.68,23-08-2023 13:54:04.692
1.01,2.13,335.48,23-08-2023 13:54:05.041
1.18,2.89,335.29,23-08-2023 13:54:05.068
1.38,2.54,334.96,23-08-2023 13:54:05.259
1.18,2.25,334.66,23-08-2023 13:54:05.434
0.63,2.83,334.47,23-08-2023 13:54:05.620
0.45,2.86,334.31,23-08-2023 13:54:05.804
