x,y,z,Date
0.89,4.51,25.30,23-08-2023 13:48:53.993
1.00,4.10,25.91,23-08-2023 13:48:54.179
1.08,1.90,26.44,23-08-2023 13:48:54.376
1.17,1.55,26.99,23-08-2023 13:48:54.546
1.16,2.02,27.61,23-08-2023 13:48:54.736
1.12,1.04,28.14,23-08-2023 13:48:54.916
1.06,0.31,28.52,23-08-2023 13:48:55.099
1.04,1.69,28.94,23-08-2023 13:48:55.269
1.21,2.91,29.35,23-08-2023 13:48:55.462
1.21,2.11,29.64,23-08-2023 13:48:55.659
0.92,1.65,30.05,23-08-2023 13:48:55.831
0.74,3.08,30.52,23-08-2023 13:48:56.002
0.98,3.32,30.91,23-08-2023 13:48:56.209
1.37,2.07,31.21,23-08-2023 13:48:56.380
1.47,2.08,31.52,23-08-2023 13:48:56.564
1.18,2.23,31.94,23-08-2023 13:48:56.739
0.85,1.13,32.34,23-08-2023 13:48:56.934
0.73,0.91,32.69,23-08-2023 13:48:57.114
0.85,2.64,33.10,23-08-2023 13:48:57.301
