accelZ,Date
-0.03,22-08-2023 14:21:35.487
-0.02,22-08-2023 14:21:35.670
-0.01,22-08-2023 14:21:35.857
-0.02,22-08-2023 14:21:36.031
-0.04,22-08-2023 14:21:36.224
-0.02,22-08-2023 14:21:36.407
-0.02,22-08-2023 14:21:36.587
-0.03,22-08-2023 14:21:36.769
-0.04,22-08-2023 14:21:36.949
-0.03,22-08-2023 14:21:37.132
-0.03,22-08-2023 14:21:37.314
-0.03,22-08-2023 14:21:37.504
-0.03,22-08-2023 14:21:37.683
-0.03,22-08-2023 14:21:37.866
-0.03,22-08-2023 14:21:38.053
-0.03,22-08-2023 14:21:38.237
-0.04,22-08-2023 14:21:38.417
-0.02,22-08-2023 14:21:38.599
-0.05,22-08-2023 14:21:38.788
-0.04,22-08-2023 14:21:38.966
-0.03,22-08-2023 14:21:39.148
-0.02,22-08-2023 14:21:39.335
-0.02,22-08-2023 14:21:39.519
-0.02,22-08-2023 14:21:39.697
-0.03,22-08-2023 14:21:39.884
-0.03,22-08-2023 14:21:40.068
-0.02,22-08-2023 14:21:40.252
-0.02,22-08-2023 14:21:40.434
-0.01,22-08-2023 14:21:40.615
0,22-08-2023 14:21:40.797
-0.02,22-08-2023 14:21:40.983
-0.04,22-08-2023 14:21:41.164
-0.03,22-08-2023 14:21:41.347
-0.01,22-08-2023 14:21:41.536
-0.03,22-08-2023 14:21:41.717
-0.03,22-08-2023 14:21:41.902
-0.02,22-08-2023 14:21:42.085
-0.02,22-08-2023 14:21:42.276
-0.02,22-08-2023 14:21:42.448
-0.04,22-08-2023 14:21:42.632
-0.02,22-08-2023 14:21:42.820
-0.03,22-08-2023 14:21:42.998
-0.03,22-08-2023 14:21:43.186
-0.02,22-08-2023 14:21:43.366
-0.02,22-08-2023 14:21:43.548
-0.02,22-08-2023 14:21:43.733
-0.02,22-08-2023 14:21:43.916
-0.02,22-08-2023 14:21:44.101
-0.04,22-08-2023 14:21:44.287
-0.03,22-08-2023 14:21:44.467
-0.03,22-08-2023 14:21:44.649
-0.03,22-08-2023 14:21:44.836
-0.03,22-08-2023 14:21:45.017
-0.03,22-08-2023 14:21:45.203
-0.03,22-08-2023 14:21:45.386
-0.02,22-08-2023 14:21:45.569
0,22-08-2023 14:21:45.749
-0.03,22-08-2023 14:21:45.932
-0.02,22-08-2023 14:21:46.117
-0.04,22-08-2023 14:21:46.303
-0.03,22-08-2023 14:21:46.485
-0.03,22-08-2023 14:21:46.669
-0.02,22-08-2023 14:21:46.853
-0.01,22-08-2023 14:21:47.034
-0.04,22-08-2023 14:21:47.218
-0.02,22-08-2023 14:21:47.400
-0.02,22-08-2023 14:21:47.581
-0.03,22-08-2023 14:21:47.767
-0.03,22-08-2023 14:21:47.967
-0.06,22-08-2023 14:21:48.161
0.02,22-08-2023 14:21:48.315
-0.02,22-08-2023 14:21:48.498
-0.03,22-08-2023 14:21:48.687
-0.03,22-08-2023 14:21:48.871
-0.06,22-08-2023 14:21:49.051
-0.05,22-08-2023 14:21:49.230
-0.07,22-08-2023 14:21:49.416
-0.03,22-08-2023 14:21:49.597
-0.03,22-08-2023 14:21:49.781
0,22-08-2023 14:21:49.965
-0.02,22-08-2023 14:23:56.734
-0.02,22-08-2023 14:23:56.868
-0.03,22-08-2023 14:23:57.028
0.18,22-08-2023 14:23:57.218
0,22-08-2023 14:23:57.401
0.03,22-08-2023 14:23:57.578
-0.48,22-08-2023 14:23:57.763
0.46,22-08-2023 14:23:57.950
0.21,22-08-2023 14:23:58.131
0.27,22-08-2023 14:23:58.317
0.01,22-08-2023 14:23:58.496
0.11,22-08-2023 14:23:58.685
-0.48,22-08-2023 14:23:58.863
0.54,22-08-2023 14:23:59.050
0.1,22-08-2023 14:23:59.227
0.16,22-08-2023 14:23:59.413
-0.06,22-08-2023 14:23:59.594
-0.03,22-08-2023 14:23:59.780
-0.03,22-08-2023 14:23:59.962
-0.02,22-08-2023 14:24:00.142
-0.03,22-08-2023 14:24:00.327
-0.01,22-08-2023 14:24:00.509
-0.03,22-08-2023 14:24:00.695
0,22-08-2023 14:24:01.063
0.05,22-08-2023 14:24:01.243
-0.28,22-08-2023 14:24:01.433
0.23,22-08-2023 14:24:01.612
-0.02,22-08-2023 14:24:01.794
-0.16,22-08-2023 14:24:01.980
0.42,22-08-2023 14:24:02.162
-0.02,22-08-2023 14:24:02.350
0.56,22-08-2023 14:24:02.527
0.17,22-08-2023 14:24:02.710
0.16,22-08-2023 14:24:02.896
-0.25,22-08-2023 14:24:03.080
-0.06,22-08-2023 14:24:03.267
-0.02,22-08-2023 14:24:03.441
0,22-08-2023 14:24:03.629
0.03,22-08-2023 14:24:03.810
-0.21,22-08-2023 14:24:03.997
-0.07,22-08-2023 14:24:32.980
-0.01,22-08-2023 14:24:33.101
-0.05,22-08-2023 14:24:33.295
-0.13,22-08-2023 14:24:33.477
-0.39,22-08-2023 14:24:33.660
-0.14,22-08-2023 14:24:33.838
-0.47,22-08-2023 14:24:34.021
0.29,22-08-2023 14:24:34.205
0.22,22-08-2023 14:24:34.395
0.49,22-08-2023 14:24:34.573
0.08,22-08-2023 14:24:34.766
-0.38,22-08-2023 14:24:34.941
-0.71,22-08-2023 14:24:35.125
-1.07,22-08-2023 14:24:35.307
-0.14,22-08-2023 14:24:35.489
-0.19,22-08-2023 14:24:35.673
0.31,22-08-2023 14:24:35.858
0.37,22-08-2023 14:24:36.040
0,22-08-2023 14:24:36.226
-5.03,22-08-2023 14:24:36.412
